,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,2,,,3,,,4,,,5,,,6,,
,,,,,,BASE COST,,100%,SUBMISSION,, ANTARA ,,, TECHNOLGENT ,,, CHAN WAI ,,, BOND ,,, SGME ,,, DAGANG JATI ,,
ITEM,DESCRIPTION,,QTY, Rate , Total Amount , Rate , Total Amount ,, Rate , Total Amount , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK 
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
03.02.01,,"1x3C 300mm XLPE/SWA/PVC 33kV AL Cable to TX-5                             
Approximate length: 20m",20, 229.30 ," 4,585.97 ", 230.00 ," 4,600.00 ",,,, 263.00 ," 5,260.00 ",,," 23,035.00 ",, 270.00 ," 5,400.00 ",, 467.00 ," 9,340.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
03.03.00,,From Switchgear Panel 4 to,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
03.03.01,,"1x3C 300mm XLPE/SWA/PVC 33kV AL Cable to TX-6              
Approximate length: 20m",20, 229.30 ," 4,585.97 ", 230.00 ," 4,600.00 ",,,, 263.00 ," 5,260.00 ",,," 23,035.00 ",, 270.00 ," 5,400.00 ",, 467.00 ," 9,340.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
04.00.00,,33KV DISTRIBUTION TRANSFORMER,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
04.01.00,,"To supply & deliver  33/0.433KV Cast Resin ANAF  (copper winding) transformer as per drawing & specification.

Price shall deem to be included all the necessary logistic movement and machinery for the erection of power transformer such as crane rental, additional steel plate to reinforce existing ground/road where required highway authority permit, local road authority permit and etc. to complete.",,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
04.01.01,,3500  KVA,2," 472,500.00 "," 945,000.00 "," 472,500.00 "," 945,000.00 ",,,," 396,000.00 "," 792,000.00 ",," 537,500.00 "," 1,075,000.00 ",,,,," 523,250.00 "," 1,046,500.00 ",,,,,,,
