,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,2,,,3,,,4,,,5,,,6,,
,,,,,,BASE COST,,100%,SUBMISSION,, ANTARA ,,, TECHNOLGENT ,,, CHAN WAI ,,, BOND ,,, SGME ,,, DAGANG JATI ,,
ITEM,DESCRIPTION,,QTY, Rate , Total Amount , Rate , Total Amount ,, Rate , Total Amount , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK 
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
12.02.03,,LABOUR for the unloading and installation 24V Heavy Duty Nickel Cadmium Battery,2,  ,  ,  ,  ,,,," 4,000.00 "," 8,000.00 ",,, By Others ,," 2,000.00 "," 4,000.00 ",," 1,725.00 "," 3,450.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
12.02.04,,LABOUR for the unloading and installation one set fuel tank c/w spill containment RC Slab or G.I. Rate to include all connecting pipe work from fuel tank to gen-set and from fuel tank to intake.,2,  ,  ,  ,  ,,,," 6,000.00 "," 12,000.00 ",,, By Others ,," 9,000.00 "," 18,000.00 ",," 17,250.00 "," 34,500.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
12.02.05,,"LABOUR for the unloading and installation Acoustic Treatment for generator set plantroom c/w exhaust air silencer, acoustic door to DOE requirements and DOE approval.",1,  ,  ,  ,  ,,,," 20,000.00 "," 20,000.00 ",,, By Others ,," 16,000.00 "," 16,000.00 ",," 17,250.00 "," 17,250.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
12.02.06,,"To supply Rubber mat, signages to authorities requirement, standard accessories- tools kit, operation, maintenance and parts manual ",1,  ,  ,  ,  ,,,," 15,000.00 "," 15,000.00 ",," 3,000.00 "," 3,000.00 ",," 10,000.00 "," 10,000.00 ",," 20,700.00 "," 20,700.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
12.02.07,,Submission to ST c/w approval and inspection fee. Rate to include registration fees for two (2) years,1,  ,  ,  ,  ,,,," 20,000.00 "," 20,000.00 ",," 5,000.00 "," 5,000.00 ",," 8,000.00 "," 8,000.00 ",," 5,750.00 "," 5,750.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
12.02.08,,Supply and install earth system including copper tapes from GENSET to earth bar c/w necesssary accessories. (Earth bar by others),1,  ,  ,  ,  ,,,," 30,000.00 "," 30,000.00 ",," 3,000.00 "," 3,000.00 ",," 8,000.00 "," 8,000.00 ",," 10,350.00 "," 10,350.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
12.02.09,,Testing and commissioning.,1,  ,  ,  ,  ,,,," 18,000.00 "," 18,000.00 ",," 3,000.00 "," 3,000.00 ",," 5,000.00 "," 5,000.00 ",," 17,250.00 "," 17,250.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,"Total 12.00.00 To Be Carried Forward
To Summary of Tender Prices",,, -   ,, -   ,,, -   ,," 424,000.00 ",,," 35,500.00 ",,," 319,600.00 ",,," 554,094.00 ",,, -   ,,, -   ,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.00.00,,SWITCHBOARD,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.01.00,,"Main Switchboard

To supply and install the following low voltage floor standing main switchboard, MSB (form 4B), complete with air circuit breakers (ACBs) with spring charging motors, surge protector device  (SPD), active voltage conditioner, moulded case circuit breakers, current transformers, digital power meter, overcurrent and earth fault IDMT relays. (as per drawing)

*Main busbar shall withstand 65KA for 3seconds. ",,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.01.01,,EMSB-ASRS (65KA),1," 575,000.00 "," 575,000.00 "," 575,000.00 "," 575,000.00 ",,,," 582,791.00 "," 582,791.00 ",," 808,690.00 "," 808,690.00 ",," 535,720.00 "," 535,720.00 ",," 654,962.00 "," 654,962.00 ",,,,,,,
13.01.02,,EMSB-COLDROOM (85KA),Rate Only,  ,  ,  ,  ,,,,, Rate Only ,,, Rate Only ,,, Rate Only ,,, Rate Only ,,,,,,,
13.01.03,,MSB-LANDLORD  (65KA),1," 575,000.00 "," 575,000.00 "," 575,000.00 "," 575,000.00 ",,,," 286,892.00 "," 286,892.00 ",," 382,500.00 "," 382,500.00 ",," 263,720.00 "," 263,720.00 ",," 337,523.00 "," 337,523.00 ",,,,,,,
13.01.04,,EMSB-LANDLORD (65KA),1," 575,000.00 "," 575,000.00 "," 575,000.00 "," 575,000.00 ",,,," 377,521.00 "," 377,521.00 ",," 802,250.00 "," 802,250.00 ",," 347,110.00 "," 347,110.00 ",," 504,978.00 "," 504,978.00 ",,,,,,,
13.01.05,,MSB-TENANT (65KA),1," 575,000.00 "," 575,000.00 "," 575,000.00 "," 575,000.00 ",,,," 278,788.00 "," 278,788.00 ",," 468,750.00 "," 468,750.00 ",," 256,353.00 "," 256,353.00 ",," 336,170.00 "," 336,170.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.01.06,,"To supply Labelling, signage, rubber mat, drawings, CPR diagram etc.",1,  ,  ,  ,  ,,,," 20,000.00 "," 20,000.00 ",,, -   ,," 15,000.00 "," 15,000.00 ",," 5,750.00 "," 5,750.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.01.07,,Supply and install earth system including copper tapes from MSB to earth bar c/w necesssary accessories. (Earth bar by others),1,  ,  ,  ,  ,,,," 20,000.00 "," 20,000.00 ",,, -   ,," 18,500.00 "," 18,500.00 ",," 4,600.00 "," 4,600.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.02.00,,"Meter Panels

To supply and install meter panels c/w all necessary accessories  (as per drawing)",,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.02.01,,From MSB-TENANT,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.02.01.01,,MP-GA,1," 17,250.00 "," 17,250.00 "," 17,250.00 "," 17,250.00 ",,,," 21,861.00 "," 21,861.00 ",," 11,425.00 "," 11,425.00 ",," 11,844.00 "," 11,844.00 ",," 7,423.00 "," 7,423.00 ",,,,,,,
13.02.01.02,,MP-GB,1," 17,250.00 "," 17,250.00 "," 17,250.00 "," 17,250.00 ",,,," 21,861.00 "," 21,861.00 ",," 11,425.00 "," 11,425.00 ",," 11,844.00 "," 11,844.00 ",," 7,423.00 "," 7,423.00 ",,,,,,,
13.02.01.03,,MP-GC,1," 17,250.00 "," 17,250.00 "," 17,250.00 "," 17,250.00 ",,,," 21,861.00 "," 21,861.00 ",," 11,425.00 "," 11,425.00 ",," 11,844.00 "," 11,844.00 ",," 7,423.00 "," 7,423.00 ",,,,,,,
13.02.01.04,,MP-1A,1," 17,250.00 "," 17,250.00 "," 17,250.00 "," 17,250.00 ",,,," 21,861.00 "," 21,861.00 ",," 11,425.00 "," 11,425.00 ",," 11,844.00 "," 11,844.00 ",," 7,423.00 "," 7,423.00 ",,,,,,,
13.02.01.05,,MP-1B,1," 17,250.00 "," 17,250.00 "," 17,250.00 "," 17,250.00 ",,,," 21,861.00 "," 21,861.00 ",," 11,425.00 "," 11,425.00 ",," 11,844.00 "," 11,844.00 ",," 7,423.00 "," 7,423.00 ",,,,,,,
13.02.01.06,,MP-2A,1," 17,250.00 "," 17,250.00 "," 17,250.00 "," 17,250.00 ",,,," 21,861.00 "," 21,861.00 ",," 11,425.00 "," 11,425.00 ",," 11,844.00 "," 11,844.00 ",," 7,423.00 "," 7,423.00 ",,,,,,,
13.02.01.07,,MP-2B,1," 17,250.00 "," 17,250.00 "," 17,250.00 "," 17,250.00 ",,,," 21,861.00 "," 21,861.00 ",," 11,425.00 "," 11,425.00 ",," 11,844.00 "," 11,844.00 ",," 7,423.00 "," 7,423.00 ",,,,,,,
13.02.01.08,,MP-3A,1," 17,250.00 "," 17,250.00 "," 17,250.00 "," 17,250.00 ",,,," 21,861.00 "," 21,861.00 ",," 11,425.00 "," 11,425.00 ",," 11,844.00 "," 11,844.00 ",," 7,423.00 "," 7,423.00 ",,,,,,,
13.02.01.09,,MP-3B,1," 17,250.00 "," 17,250.00 "," 17,250.00 "," 17,250.00 ",,,," 21,861.00 "," 21,861.00 ",," 11,425.00 "," 11,425.00 ",," 11,844.00 "," 11,844.00 ",," 7,423.00 "," 7,423.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.02.05,,MP-MDF,1," 17,250.00 "," 17,250.00 "," 17,250.00 "," 17,250.00 ",,,," 21,861.00 "," 21,861.00 ",," 3,490.00 "," 3,490.00 ",, 600.00 , 600.00 ,," 7,423.00 "," 7,423.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.02.06,,Supply 9 Nos. owner 400A 3-phase check meter for tenant SSB,9,  ,  ,  ,  ,,,," 6,300.00 "," 56,700.00 ",," 2,025.00 "," 18,225.00 ",," 1,580.00 "," 14,220.00 ",," 7,423.00 "," 66,807.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.03.00,,"Sub-Switchboard

To supply and install sub switchboards c/w air circuit breakers (ACB/MCCBs) with spring charging motors, moulded case circuit breakers, current transformers, digital power meter, overcurrent and earth fault IDMT relays (as per drawing)",,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.03.01,,From MSB-LANDLORD,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.03.01.01,,ESSB-LANDLORD,1," 17,250.00 "," 17,250.00 "," 17,250.00 "," 17,250.00 ",,,," 13,954.00 "," 13,954.00 ",," 13,132.50 "," 13,132.50 ",," 13,955.00 "," 13,955.00 ",," 16,162.00 "," 16,162.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.03.02,,MSB-TENANT,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.03.02.01,,SSB-GA,1," 17,250.00 "," 17,250.00 "," 17,250.00 "," 17,250.00 ",,,," 13,849.00 "," 13,849.00 ",," 17,405.00 "," 17,405.00 ",," 11,849.00 "," 11,849.00 ",," 16,396.00 "," 16,396.00 ",,,,,,,
13.03.02.02,,SSB-GB,1," 17,250.00 "," 17,250.00 "," 17,250.00 "," 17,250.00 ",,,," 13,849.00 "," 13,849.00 ",," 17,405.00 "," 17,405.00 ",," 11,849.00 "," 11,849.00 ",," 16,396.00 "," 16,396.00 ",,,,,,,
13.03.02.03,,SSB-GC,1," 17,250.00 "," 17,250.00 "," 17,250.00 "," 17,250.00 ",,,," 13,849.00 "," 13,849.00 ",," 17,405.00 "," 17,405.00 ",," 11,849.00 "," 11,849.00 ",," 16,396.00 "," 16,396.00 ",,,,,,,
13.03.02.04,,SSB-1A,1," 17,250.00 "," 17,250.00 "," 17,250.00 "," 17,250.00 ",,,," 13,849.00 "," 13,849.00 ",," 17,405.00 "," 17,405.00 ",," 11,849.00 "," 11,849.00 ",," 16,396.00 "," 16,396.00 ",,,,,,,
13.03.02.05,,SSB-1B,1," 17,250.00 "," 17,250.00 "," 17,250.00 "," 17,250.00 ",,,," 13,849.00 "," 13,849.00 ",," 17,405.00 "," 17,405.00 ",," 11,849.00 "," 11,849.00 ",," 16,396.00 "," 16,396.00 ",,,,,,,
13.03.02.06,,SSB-2A,1," 17,250.00 "," 17,250.00 "," 17,250.00 "," 17,250.00 ",,,," 13,849.00 "," 13,849.00 ",," 17,405.00 "," 17,405.00 ",," 11,849.00 "," 11,849.00 ",," 16,396.00 "," 16,396.00 ",,,,,,,
13.03.02.07,,SSB-2B,1," 17,250.00 "," 17,250.00 "," 17,250.00 "," 17,250.00 ",,,," 13,849.00 "," 13,849.00 ",," 17,405.00 "," 17,405.00 ",," 11,849.00 "," 11,849.00 ",," 16,396.00 "," 16,396.00 ",,,,,,,
13.03.02.08,,SSB-3A,1," 17,250.00 "," 17,250.00 "," 17,250.00 "," 17,250.00 ",,,," 13,849.00 "," 13,849.00 ",," 17,405.00 "," 17,405.00 ",," 11,849.00 "," 11,849.00 ",," 16,396.00 "," 16,396.00 ",,,,,,,
13.03.02.09,,SSB-3B,1," 17,250.00 "," 17,250.00 "," 17,250.00 "," 17,250.00 ",,,," 13,849.00 "," 13,849.00 ",," 17,405.00 "," 17,405.00 ",," 11,849.00 "," 11,849.00 ",," 16,396.00 "," 16,396.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.04.00,,"Distribution Board

Supply and install the following low voltage distribution boards complete with all distribution boards components and all accessories as per specification and drawing:-",,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.04.01,,From EMSB-ASRS,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.04.01.01,,EDB-ASRS-GF,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 18,631.00 "," 18,631.00 ",, 350.00 , 350.00 ,," 19,131.00 "," 19,131.00 ",," 15,534.00 "," 15,534.00 ",,,,,,,
13.04.01.02,,EDB-ASRS-1F,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 18,631.00 "," 18,631.00 ",, 350.00 , 350.00 ,," 19,131.00 "," 19,131.00 ",," 15,534.00 "," 15,534.00 ",,,,,,,
13.04.01.03,,EDB-ASRS-2F,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 18,631.00 "," 18,631.00 ",, 350.00 , 350.00 ,," 19,131.00 "," 19,131.00 ",," 15,534.00 "," 15,534.00 ",,,,,,,
13.04.01.04,,CP-ASRS,Rate Only,  ,  ,  ,  ,,,,, Rate Only ,,, Rate Only ,, Rate Only , Rate Only ,,, Rate Only ,,,,,,,
13.04.01.05,,EDB-SERVER1-1,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 11,330.00 "," 11,330.00 ",, 350.00 , 350.00 ,," 11,830.00 "," 11,830.00 ",," 11,271.00 "," 11,271.00 ",,,,,,,
13.04.01.06,,EDB-SERVER2-1,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 7,323.00 "," 7,323.00 ",, 350.00 , 350.00 ,," 7,824.00 "," 7,824.00 ",," 10,234.00 "," 10,234.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.04.02,,From MSB-LANDLORD,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.04.02.01,,DB-GF-1,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,656.00 "," 2,656.00 ",," 2,420.00 "," 2,420.00 ",," 2,657.00 "," 2,657.00 ",," 2,454.00 "," 2,454.00 ",,,,,,,
13.04.02.02,,DB-1F-1,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,656.00 "," 2,656.00 ",," 2,420.00 "," 2,420.00 ",," 2,657.00 "," 2,657.00 ",," 2,454.00 "," 2,454.00 ",,,,,,,
13.04.02.03,,DB-2F-1,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,656.00 "," 2,656.00 ",," 2,420.00 "," 2,420.00 ",," 2,657.00 "," 2,657.00 ",," 2,454.00 "," 2,454.00 ",,,,,,,
13.04.02.04,,DB-3F-1,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,656.00 "," 2,656.00 ",," 2,420.00 "," 2,420.00 ",," 2,657.00 "," 2,657.00 ",," 2,454.00 "," 2,454.00 ",,,,,,,
13.04.02.05,,DB-GF-2,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,656.00 "," 2,656.00 ",," 2,420.00 "," 2,420.00 ",," 2,657.00 "," 2,657.00 ",," 2,454.00 "," 2,454.00 ",,,,,,,
13.04.02.06,,DB-1F-2,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,656.00 "," 2,656.00 ",," 2,420.00 "," 2,420.00 ",," 2,657.00 "," 2,657.00 ",," 2,454.00 "," 2,454.00 ",,,,,,,
13.04.02.07,,DB-2F-2,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,656.00 "," 2,656.00 ",," 2,420.00 "," 2,420.00 ",," 2,657.00 "," 2,657.00 ",," 2,454.00 "," 2,454.00 ",,,,,,,
13.04.02.08,,DB-3F-2,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,656.00 "," 2,656.00 ",," 2,420.00 "," 2,420.00 ",," 2,657.00 "," 2,657.00 ",," 2,454.00 "," 2,454.00 ",,,,,,,
13.04.02.09,,DB-GF-3,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,656.00 "," 2,656.00 ",," 2,420.00 "," 2,420.00 ",," 2,657.00 "," 2,657.00 ",," 2,454.00 "," 2,454.00 ",,,,,,,
13.04.02.10,,DB-1F-3,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,656.00 "," 2,656.00 ",," 2,420.00 "," 2,420.00 ",," 2,657.00 "," 2,657.00 ",," 2,454.00 "," 2,454.00 ",,,,,,,
13.04.02.11,,DB-2F-3,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,656.00 "," 2,656.00 ",," 2,420.00 "," 2,420.00 ",," 2,657.00 "," 2,657.00 ",," 2,454.00 "," 2,454.00 ",,,,,,,
13.04.02.12,,DB-3F-3,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,656.00 "," 2,656.00 ",," 2,420.00 "," 2,420.00 ",," 2,657.00 "," 2,657.00 ",," 2,454.00 "," 2,454.00 ",,,,,,,
13.04.02.13,,DB-CANTEEN,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,793.00 "," 2,793.00 ",," 1,960.00 "," 1,960.00 ",," 2,793.00 "," 2,793.00 ",," 2,486.00 "," 2,486.00 ",,,,,,,
13.04.02.14,,DB-MANAGEMENT,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,204.00 "," 2,204.00 ",," 1,730.00 "," 1,730.00 ",," 2,325.00 "," 2,325.00 ",," 2,302.00 "," 2,302.00 ",,,,,,,
13.04.02.15,,DB-EV,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 4,764.00 "," 4,764.00 ",," 7,020.00 "," 7,020.00 ",," 4,765.00 "," 4,765.00 ",," 6,831.00 "," 6,831.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.04.03,,From EMSB-LANDLORD,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.04.03.01,,EDB-GF-1,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,656.00 "," 2,656.00 ",," 3,455.00 "," 3,455.00 ",," 2,657.00 "," 2,657.00 ",," 3,403.00 "," 3,403.00 ",,,,,,,
13.04.03.02,,EDB-1F-1,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,656.00 "," 2,656.00 ",," 3,455.00 "," 3,455.00 ",," 2,657.00 "," 2,657.00 ",," 3,403.00 "," 3,403.00 ",,,,,,,
13.04.03.03,,EDB-2F-1,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,656.00 "," 2,656.00 ",," 3,455.00 "," 3,455.00 ",," 2,657.00 "," 2,657.00 ",," 3,403.00 "," 3,403.00 ",,,,,,,
13.04.03.04,,EDB-3F-1,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,656.00 "," 2,656.00 ",," 3,455.00 "," 3,455.00 ",," 2,657.00 "," 2,657.00 ",," 3,403.00 "," 3,403.00 ",,,,,,,
13.04.03.05,,EDB-GF-2,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,656.00 "," 2,656.00 ",," 3,455.00 "," 3,455.00 ",," 2,657.00 "," 2,657.00 ",," 3,403.00 "," 3,403.00 ",,,,,,,
13.04.03.06,,EDB-1F-2,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,656.00 "," 2,656.00 ",," 3,455.00 "," 3,455.00 ",," 2,657.00 "," 2,657.00 ",," 3,403.00 "," 3,403.00 ",,,,,,,
13.04.03.07,,EDB-2F-2,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,656.00 "," 2,656.00 ",," 3,455.00 "," 3,455.00 ",," 2,657.00 "," 2,657.00 ",," 3,403.00 "," 3,403.00 ",,,,,,,
13.04.03.08,,EDB-3F-2,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,656.00 "," 2,656.00 ",," 3,455.00 "," 3,455.00 ",," 2,657.00 "," 2,657.00 ",," 3,403.00 "," 3,403.00 ",,,,,,,
13.04.03.09,,EDB-GF-3,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,656.00 "," 2,656.00 ",," 3,455.00 "," 3,455.00 ",," 2,657.00 "," 2,657.00 ",," 3,403.00 "," 3,403.00 ",,,,,,,
13.04.03.10,,EDB-1F-3,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,656.00 "," 2,656.00 ",," 3,455.00 "," 3,455.00 ",," 2,657.00 "," 2,657.00 ",," 3,403.00 "," 3,403.00 ",,,,,,,
13.04.03.11,,EDB-2F-3,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,656.00 "," 2,656.00 ",," 3,455.00 "," 3,455.00 ",," 2,657.00 "," 2,657.00 ",," 3,403.00 "," 3,403.00 ",,,,,,,
13.04.03.12,,EDB-3F-3,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,656.00 "," 2,656.00 ",," 3,455.00 "," 3,455.00 ",," 2,657.00 "," 2,657.00 ",," 3,403.00 "," 3,403.00 ",,,,,,,
13.04.03.13,,EDB-RAMP,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,354.00 "," 2,354.00 ",," 1,960.00 "," 1,960.00 ",," 2,354.00 "," 2,354.00 ",," 2,264.00 "," 2,264.00 ",,,,,,,
13.04.03.14,,EDB-M&E1,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,204.00 "," 2,204.00 ",," 1,845.00 "," 1,845.00 ",," 2,325.00 "," 2,325.00 ",," 2,302.00 "," 2,302.00 ",,,,,,,
13.04.03.15,,FP-CL/02,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 4,096.00 "," 4,096.00 ",," 5,640.00 "," 5,640.00 ",," 3,597.00 "," 3,597.00 ",," 4,813.00 "," 4,813.00 ",,,,,,,
13.04.03.16,,EDB-CONTROL,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,135.00 "," 2,135.00 ",," 1,845.00 "," 1,845.00 ",," 2,135.00 "," 2,135.00 ",," 2,302.00 "," 2,302.00 ",,,,,,,
13.04.03.17,,EDB-MDF,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,135.00 "," 2,135.00 ",," 1,845.00 "," 1,845.00 ",," 2,135.00 "," 2,135.00 ",," 2,302.00 "," 2,302.00 ",,,,,,,
13.04.03.18,,EDB-SERVER1-2,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 11,330.00 "," 11,330.00 ",," 21,349.00 "," 21,349.00 ",," 5,135.00 "," 5,135.00 ",," 11,271.00 "," 11,271.00 ",,,,,,,
13.04.03.19,,EDB-SERVER2-2,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 7,323.00 "," 7,323.00 ",," 12,827.50 "," 12,827.50 ",," 5,135.00 "," 5,135.00 ",," 10,234.00 "," 10,234.00 ",,,,,,,
13.04.03.20,,EDB-M&E2,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,204.00 "," 2,204.00 ",," 1,845.00 "," 1,845.00 ",," 2,204.00 "," 2,204.00 ",," 2,302.00 "," 2,302.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.04.04,,From ESSB-LANDLORD,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.04.04.01,,EDB-M&E,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,204.00 "," 2,204.00 ",," 1,730.00 "," 1,730.00 ",," 2,204.00 "," 2,204.00 ",," 2,302.00 "," 2,302.00 ",,,,,,,
13.04.05.03,,FP-CL/01,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 4,096.00 "," 4,096.00 ",," 5,640.00 "," 5,640.00 ",," 3,597.00 "," 3,597.00 ",," 4,813.00 "," 4,813.00 ",,,,,,,
13.04.05.04,,CP-HR,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,,, Rate Only ,," 4,490.00 "," 4,490.00 ",," 2,947.00 "," 2,947.00 ",,, BY OTHERS ,,,,,,,
13.04.05.05,,EDB-GH1,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,176.00 "," 2,176.00 ",," 1,730.00 "," 1,730.00 ",," 2,176.00 "," 2,176.00 ",," 2,302.00 "," 2,302.00 ",,,,,,,
13.04.05.06,,EDB-GH2,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,176.00 "," 2,176.00 ",," 1,730.00 "," 1,730.00 ",," 2,176.00 "," 2,176.00 ",," 2,302.00 "," 2,302.00 ",,,,,,,
13.04.05.07,,EDB-TNB,Rate Only,  ,  ,  ,  ,,,,, Rate Only ,,, Rate Only ,,, Rate Only ,,, Rate Only ,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.04.05,,From SSB-GA,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
13.04.05.01,,DB-GA,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 4,777.00 "," 4,777.00 ",," 4,662.50 "," 4,662.50 ",," 4,778.00 "," 4,778.00 ",," 4,813.00 "," 4,813.00 ",,,,,,,
13.04.05.02,,DB-GA-MEZZ,1," 9,200.00 "," 9,200.00 "," 9,200.00 "," 9,200.00 ",,,," 2,821.00 "," 2,821.00 ",," 3,069.75 "," 3,069.75 ",," 2,824.00 "," 2,824.00 ",," 2,840.00 "," 2,840.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
