ALP2 - ELV - BOQ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,2,,,3,,,4,,,5,,
,,,,,, BASE COST ,,100%, SUBMISSION ,, SKK ,,, NSI ,,, WINCOMM ,,, ACMALITE ,,, BASTION ,,
ITEM,,DESCRIPTION,,UNIT,QTY," RATE 
(RM) "," AMOUNT 
(RM) ",," RATE 
(RM) "," AMOUNT 
(RM) "," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK 
02.01.04,,"Telephone Pit (18"" x 18"" x Depth)",,No,3,, -   ,100%, -   , -   ," 1,176.30 "," 3,528.90 ",, 880.00 ," 2,640.00 ",, 650.00 ," 1,950.00 ",," 2,000.00 "," 6,000.00 ",," 4,000.00 "," 12,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
02.02.00,,Internal Telephone Services,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
02.02.01,,"Supply and install complete system of fibre distribution frame c/w inter- wiring, splicing works & necessary accessories as per drawings and Telekom's specification.",,,,,,,,,,,,,,,,,,,,,,,
02.02.01.1,,Main Fiber Termination Board,,Lot,1,, -   ,100%, -   , -   ," 12,382.50 "," 12,382.50 ",," 7,200.00 "," 7,200.00 ",," 14,400.00 "," 14,400.00 ",," 25,600.00 "," 25,600.00 ",," 10,000.00 "," 10,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
02.02.02,,"Supply and install MDF Room accessories to comply with Telekom requirements (Trunking, Cable Ladder, epoxy paint finishes etc) as per Telekom's specification.",,Lot,1,, -   ,100%, -   , -   ," 2,580.00 "," 2,580.00 ",," 8,000.00 "," 8,000.00 ",," 2,000.00 "," 2,000.00 ",," 4,000.00 "," 4,000.00 ",," 1,000.00 "," 1,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
02.02.03,,To supply and install complete earthing system connected to earthing termination bar and other necessary accessories as per IEE wiring regulations. (Earthbar and external earth chambers provided by others) ~ Inclusive,,,,,,,,,,,,,,," 2,000.00 "," 2,000.00 ", 1 LOT ," 1,000.00 "," 1,000.00 ",," 1,000.00 "," 1,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
02.02.04,,Supply and install optical riser/vertical cable in trunking/cable tray c/w splicing works from MDF to the FTB of all respective floor as per drawings and specification.,,,,,,,,,,,,,,,,,,,,,,,
02.02.04.1,,"4 Core SM Fiber Optic Cable
Approx Length: m",,Lot,Rate Only,, Rate Only ,,, Rate Only , 43.24 , Rate Only ,,, Rate Only ,, 58/meter length , Rate Only ,, 17.00 , Rate Only ,, 15.00 , Rate Only ,
