ALP2 - FIRE - BOQ,,,,,,,,,,,,,
,,,,,,,,1,,,2,,
,,,,,,,, FITTERS ,,, ASIAMOST ,,
ITEM,,DESCRIPTION,,UNIT,QTY, RATE  , AMOUNT  , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK 
02.02.04,,"TO INSTALL Bomba approved jockey fire water pumpset c/w pressure switch, electric motor, mounted on rc/steel inertia blocks and rc plinth with spring isolators, test pipe, pressure switches, hanger, support and all necessary accessories within the fire pump room that required for complete and satisfactory functioning of the system. 
(The rc plinth will be by others)  ",,Lot,1,,,," 2,500.00 ",,,Inclusive,
,,,,,,,,,,,,,
02.02.05,,"TO SUPPLY AND INSTALL fire rated power and control cabling including cable termination from electrical panel in fire pump room (incoming electrical panel by others) to battery, diesel engine duty and standby sprinkler pumps panel and jockey pump panel on sprinkler pump skid c/w conduit, supports and brackets and all necessary accessories.",,Lot,1,,,," 18,750.00 ",,," 22,220.00 ",
,,,,,,,,,,,,,
02.03.00,,PIPEWORKS,,,,,,,,,,,
,,,,,,,,,,,,,
02.03.01,,"TO SUPPLY & INSTALL Black Mild Steel Pipes between the specified location below c/w fittings, malleable iron fittings, FM approved and UL listed grooved mechanical coupling, brackets, automatic air release valves, supports, L angle, anchor iron, anchor bar, pipe painting, pipe marking and any other necessary accessories.",,,,,,,,,,,
,,,,,,,,,,,,,
02.03.01.01,,"Above ground Class 'B' pipes from breeching inlet to sprinkler tank
? 150mmÿ  ",,Lot,1,,,," 16,006.00 ",," 7,550.00 "," 7,550.00 ",
,,,,,,,,,,,,  ,
02.03.01.02,,"Above ground Class 'B' pipes from sprinkler tank to sprinkler pumpset suction header in fire pump room.
? 350mmÿ  ",,Lot,1,,,," 16,888.00 ",," 40,210.00 "," 40,210.00 ",
,,,,,,,,,,,,  ,
02.03.01.03,,"Above ground Class 'B' pipes from sprinkler pumpset suction header to pump and from sprinkler pump to discharge header and discharge pipe within fire pump room.
? 350mmÿ  ",,Lot,1,,,," 40,647.00 ",," 442,220.00 "," 442,220.00 ",
,,,,,,,,,,,,  ,
02.03.01.04,,"Above ground Class 'B' pipes from sprinkler pump room to alarm assembly valve group : -
? 350mmÿ  ",,,,,,,,,,  ,
,,ï DN 350 (AV 1 - 6) (Office & Ramp Area),,Lot,1,,,, -   ,," 2,425,460.00 "," 2,425,460.00 ",
,,ï DN 350 (AV 7 - 11) (Warehouse),,Lot,1,,,, -   ,," 1,628,140.00 "," 1,628,140.00 ",
