ALP2-BMS-BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,
3.00,,BMS Software & Programming:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.01,,"Supply and install BMS software c/w operating system and GUI customisation works for BMS including Energy Monitoring System, Chiller Plant Optimisation System, Intelligent Light Control System, monitoring of ASRS and Cold Room Systems as well as future Solar Panel System. GUI shall consists of 3D graphics showing real time information.",,Lot,1,, -   ,100%, -   , -   ," 180,000.00 "," 180,000.00 ",," 23,000.00 "," 23,000.00 ",," 10,000.00 "," 10,000.00 ",,, Included ,," 44,250.00 "," 44,250.00 ",," 198,000.00 "," 198,000.00 ",," 18,000.00 "," 18,000.00 ",
3.02,,"BMS application software and all license required for the operations of the OWS, NCUs and Controllers.",,Lot,1,, -   ,100%, -   , -   ," 15,000.00 "," 15,000.00 ",, include , include ,," 38,000.00 "," 38,000.00 ",,, Included ,,, web base software included ,, Included , Included ,," 6,000.00 "," 6,000.00 ",
3.03,,"BMS software shall have historical data recording and reporting, event message, optimum start/stop, run time totalisation, duty cycling, password access control, preventative maintenance and inventory control, energy metering and reporting, water consumption metering and reporting",,Lot,1,, -   ,100%, -   , -   , Inclusive , Inclusive ,, include , include ,,, -   ,,, Included ,,, Comply ,, Included , Included ,," 4,000.00 "," 4,000.00 ",
3.04,,"To ensure all reporting complies with GreenRE Industrial Rating Tool Ver 1.1. E.g (but not limited to):
Chiller Plant Optimisation System
- Data acquisition system shall have a minimum resolution of 16 bit. 
- All data logging shall be sampled and logged at 1 min intervals.  
- Temp sensors to have end-to-end measurement uncertainty not exceeding +/- 0.05C over entire measurement or calibration range
- Calculate real time kW/ton and heat balance in accordance to AHRI 550/590
Water Leak Detection
- From water submeters to calculate and compare incoming water versus consumption to detect water leakage in system
BMS/EPMS:
- Sampling, trending and storage intervals of all equipment data shall be 1 minute per sample.",,Lot,1,, -   ,100%, -   , -   ," 15,000.00 "," 15,000.00 ",," 75,000.00 "," 75,000.00 ",, inclusive , inclusive ,,, Included except Water Leak Detection Test ,,, Comply ,, Included , Included ,,, -   ,
3.05,,"Maintenance Management Software and license which includes maintenance work orders scheduled, predictive maintenance, inventory tracking and produce reports and graph. (2 years subscription for 5 user )",,Lot,1,, -   ,100%, -   , -   ," 20,000.00 "," 20,000.00 ",, include , include ,," 10,000.00 "," 10,000.00 ",,, Included ,,, Excluded ,, Included , Included ,," 8,000.00 "," 8,000.00 ",
3.06,,Maximum Demand Limiting Software and license which includes the control and monitoring of maximum demand limiting for all equipments on the power consumption and to shave the maximum demand load.,,Lot,1,, -   ,100%, -   , -   , Inclusive , Inclusive ,, include , include ,," 10,000.00 "," 10,000.00 ",,, Included ,,, Excluded ,, Included , Included ,," 5,000.00 "," 5,000.00 ",
3.07,,Energy Management Software and license which includes monitoring and analyzing the building power consumption and chilled water consumption and produce reports and graph.,,Lot,1,,,,,,,,, include , include ,,,,,, Included ,,, Included ,, Included , Included ,," 5,000.00 "," 5,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL FOR 3.0  BMS SOFTWARE & PROGRAMMING (RM),,,,, -   ,,, -   ,," 230,000.00 ",,," 98,000.00 ",,," 68,000.00 ",,," 494,656.00 ",,," 44,250.00 ",,," 198,000.00 ",,," 46,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BUILDING MANAGEMENT SYSTEM (Cont'd)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.00,,BMS Hardware:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.01,,"All BTL listed Network Controller Units (NCU) or Programmable Logic Controller (PLC) c/w license, enclosure, mounting, and all accessories as specified. ",,Lot,1,, -   ,100%, -   , -   ," 72,000.00 "," 72,000.00 ",," 23,000.00 "," 23,000.00 ",, inclusive , inclusive ,,, Included DDC and NCU ,, -   , -   ,," 50,000.00 "," 50,000.00 ",," 86,500.00 "," 86,500.00 ",
4.02,,"Supply and install BMS panels c/w Direct Digital Controller (DDC)/Remote IO with 10% additional spare points for future extension. BMS panels to be c/w breakers, gateways, relays, surge suppressor, DC power supply, terminal blocks, SSO, ventilation fan with filter, PVC ducting, internal wiring & necessary accessories",,Lot,1,, -   ,100%, -   , -   ," 250,000.00 "," 250,000.00 ",," 155,000.00 "," 155,000.00 ",," 220,000.00 "," 220,000.00 ",,, Included ,," 427,000.00 "," 427,000.00 ",," 200,000.00 "," 200,000.00 ",," 178,000.00 "," 178,000.00 ",
4.03,,"Supply and install gateway and network switches for high level interface devices:-

- Digital Power Meter
- Digital Water Meter
- Security System
- Fire Alarm System
- Chiller Microprocessor
- Variable Speed Drive (VSD)
- Cold Water Pump System
- Rainwater Harvesting System
- Refrigerant System
- Variable Refrigerant Flow System
- ASRS System
- Solar Panel System
- Chemical Water Treatment System",,Lot,1,, -   ,100%, -   , -   ," 45,000.00 "," 45,000.00 ",, include , include ,, inclusive , inclusive ,,, Included Gateway for based on IO list HLI Points ,," 12,200.00 "," 12,200.00 ",, Included , Included ,," 41,000.00 "," 41,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL FOR 4.0 BMS HARDWARE (RM),,,,, -   ,,, -   ,," 367,000.00 ",,," 178,000.00 ",,," 220,000.00 ",,," 494,656.00 ",,," 439,200.00 ",,," 250,000.00 ",,," 305,500.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,,Field Devices and Instrumentation to be connected to BMS system:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.01,,"CO2 Sensor to GreenRE requirements
",,Lot,1,, -   ,100%, -   , -   , N/A , N/A ,, N.A , N.A ,,, N/A ,,, N/A ,, -   , not in io list ,, Not Applicable , Not Applicable ,,, -   , NA 
5.02,,"Chilled Water Supply and Return Temperature Sensor in Fiel
",,Lot,1,, -   ,100%, -   , -   ," 8,400.00 "," 8,400.00 ",," 7,500.00 "," 7,500.00 ",,," 9,800.00 ",,, Included ,," 1,450.00 "," 1,450.00 ",," 1,000.00 "," 1,000.00 ",, 380.00 ," 9,880.00 ", Qty: 26 Nos. 
