ALP2 - HDD WORK,,,,,,,,,,,,,,,
,,,,,,BASE COST,,,SUBMISSION,,BGN,,,,
02.01.01,,"With endorsement of professional engineer with practicing certificate/survery (where necessary),supply, deliver and install/laid of TNB approved underground ducting (3 x 150mm dia couple with 1 x 100mm dia HDPE PN 10 pipes per circuit (CCT)) using Horizontal Direct Drilling (HDD) compliant to all relavent authority requirements and standard c/w preparation of driving pit & receiving pit, all necessary plant setting for HDD works, draw-in-wire, temporary shoring, reinstate of existing hardstand, road etc., disposal of surplus material, off site, autority approved traffic management and control, cable signages, trail holes, work approval, wayleave, work permit, etc., termporary water & electricity supply, make good and patch back the initial surface finishes to the satisfaction of local authority and all necessary accessories approval and permit. HDD routing to follow TNB approved plan.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
02.01.01.01,,"From From PMU 132/33kv Bandar Botanik to SSU ALP2
(2 CCT, 8 Ways)",,M,"3,500.00"," 1,000.00 "," 3,500,000.00 ",," 1,000.00 "," 3,500,000.00 "," 1,000.00 "," 3,500,000.00 ",,,
,,,,,,,,,,,,,,,
02.01.01.02,,"Asphalt concrete wearing (ACW).
(Approx 13m width - kerb to kerb)",,M�,"22,750", 80.00 ," 1,820,000.00 ",, 80.00 ," 1,820,000.00 ", 80.00 ," 1,820,000.00 ",,,
,,,,,,,,,,,,,,,
,,HDD-2,,,,,,,,,,,,,
02.01.02,,"With endorsement of professional engineer with practicing certificate/survery (where necessary),supply, deliver and install/laid of TNB approved underground ducting (3 x 150mm dia couple with 1 x 100mm dia HDPE PN 10 pipes per circuit (CCT)) using Horizontal Direct Drilling (HDD) compliant to all relavent authority requirements and standard c/w preparation of driving pit & receiving pit, all necessary plant setting for HDD works, draw-in-wire, temporary shoring, reinstate of existing hardstand, road etc., disposal of surplus material, off site, autority approved traffic management and control, cable signages, trail holes, work approval, wayleave, work permit, etc., termporary water & electricity supply, make good and patch back the initial surface finishes to the satisfaction of local authority and all necessary accessories approval and permit. HDD routing to follow TNB approved plan.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
02.01.02.01,,"From PMU PANDAMARAN to SSU ALP2 
(2 CCT, 8 Ways)",,M,"10,200.00"," 1,000.00 "," 10,200,000.00 ",," 1,000.00 "," 10,200,000.00 "," 1,000.00 "," 10,200,000.00 ",,,
,,,,,,,,,,,,,,,
02.01.02.02,,"Asphalt concrete wearing (ACW). 
(Approx 13m width - kerb to kerb)",,M�,"66,300", 80.00 ," 5,304,000.00 ",, 80.00 ," 5,304,000.00 ", 80.00 ," 5,304,000.00 ",,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
03.00.00,,RATE ONLY,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,"With endorsement of professional engineer with practicing certificate/survery (where necessary),supply, deliver and install/laid of TNB approved underground ducting (3 x 150mm dia couple with 1 x 100mm dia HDPE PN 10 pipes per circuit (CCT)) using Horizontal Direct Drilling (HDD) compliant to all relavent authority requirements and standard c/w preparation of driving pit & receiving pit, all necessary plant setting for HDD works, draw-in-wire, temporary shoring, reinstate of existing hardstand, road etc., disposal of surplus material, off site, autority approved traffic management and control, cable signages, trail holes, work approval, wayleave, work permit, etc., termporary water & electricity supply, make good and patch back the initial surface finishes to the satisfaction of local authority and all necessary accessories approval and permit. HDD routing to follow TNB approved plan.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,"(1 CCT, 4 ways)",,M,Rate Only, 500.00 ,Rate Only,,,Rate Only, 500.00 ,Rate Only,,,
,,,,,,,,,,,,,,,
,,"(2 CCT, 8 Ways).",,M,Rate Only," 1,000.00 ",Rate Only,,,Rate Only," 1,000.00 ",Rate Only,,,
,,,,,,,,,,,,,,,
,,"(3 CCT, 12 Ways)",,M,Rate Only," 1,500.00 ",Rate Only,,,Rate Only," 1,500.00 ",Rate Only,,,
,,,,,,,,,,,,,,,
,,Mill and pave the non affected area of existing road to match the existing finishing if necessary. Site photo to be provided (before and after).,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Stone Mastic Asphalt (SMA),,M�,Rate Only, 90.00 ,Rate Only,,,Rate Only, 90.00 ,Rate Only,,,
,,,,,,,,,,,,,,,
,,Asphalt Concrete Wearing (ACW),,M�,Rate Only, 80.00 ,Rate Only,,,Rate Only, 80.00 ,Rate Only,,,
,,,,,,,,,,,,,,,
,,New interlocking tiles/ imprint footpath / concrete slabs / concrete pavement to be replaced/ repaired if exising are broken. Site photo to be provided (before and after),,M�,Rate Only, 80.00 ,Rate Only,,,Rate Only, 80.00 ,Rate Only,,,
,,,,,,,,,,,,,,,
04.00.00,,OPTIONAL - TESTING,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
04.01.00,,"CBR test as per Local Authority requirement (2 point for each 500 meter, 2 point if less than 500 meter).",,Point,55, 700.00 ," 38,360.00 ",, 700.00 ," 38,360.00 ", 700.00 ," 38,360.00 ",,,
,,,,,,,,,,,,,,,
04.02.00,,"Coring test as per Local Authority requirement (2 point for each 500 meter, 2 point if less than 500 meter).",,Point,55," 1,000.00 "," 54,800.00 ",," 1,000.00 "," 54,800.00 "," 1,000.00 "," 54,800.00 ",,,
,,,,,,,,,,,,,,,
05.00.00,,"OTHER ITEM(S)

Price for any other items NOT mentioned in the above items but shown in the drawings or described in the specificaiton or obviously necessary for complete installation, satisfactory and efficient operation and maintenance of the mechanical ventilation system to authorities and good engineering practice. If no details are to be given, contractor is deem to have priced and included all necessary for the complete installation as per drawings, specification and authority requirements.",,,,,,,,,,,,,
05.00.01,,Geotechnical report,,,1," 50,000.00 "," 50,000.00 ",," 50,000.00 "," 50,000.00 "," 50,000.00 "," 50,000.00 ",,,
05.00.02,,Premix - 3m x 5m x 274 pit,,,"4,100", 60.00 ," 246,000.00 ",, 60.00 ," 246,000.00 ", 60.00 ," 246,000.00 ",,,
05.00.03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Total 02.00.00 ~ 05.00.00 To Be Carried Forward To Summary of Tender Prices,,,,," 21,213,160.00 ",,," 21,213,160.00 ",," 21,213,160.00 ",,,
,,GRAND TOTAL (RM),,,,," 21,628,160.00 ",,," 21,628,160.00 ",," 21,628,160.00 ",,,
