ALP2 - CWSP - BOQ,,,,,,,,,,,1,,,2,,,3,,,4,,,5,,,6,,
,,,,,,BASE COST,,100%,SUBMISSION,, HENG JHOE ,,, MULTIAMPLE ,,, ARTISAN ,,, POWERSHOT ,,, YEO PLUMBER ,,, ECO WEEFA ,,
ITEM,,DESCRIPTION,,UNIT,QTY,RATE ,AMOUNT ,,RATE ,AMOUNT ,RATE ,AMOUNT ,REMARK,RATE ,AMOUNT ,REMARK,RATE ,AMOUNT ,REMARK,RATE ,AMOUNT ,REMARK,RATE ,AMOUNT ,REMARK,RATE ,AMOUNT ,REMARK
02.04.02,,"TO INSTALL variable speed pump (1 duty/1 standby) cold water SUCTION PUMPSET c/w skid, electric motors, skids, stainless steel 304 suction and discharge manifold, pre-pressurised tank at discharge manifold,  pressure gauges at suction and discharge manifold, valves and flexible couplings at pumps inlet and outlet, check valves at pumps outlet, strainers at pumps inlet,   supports, base frame, fittings, main control panel system to all pump in pump system, individual VFD starter with speed control, low water level cut off pressure transmitter, outlet manifold pressure transmitters, electrical wiring, control wiring and all necessary accessories. 

* Pump tag: 
   GF-P-01, & 02

The pumpset capacity flowrate and pressure shall refer to schedule in drawing and selection to its best efficiency.",,Lot,1,, -   ,100%, -   , -   ," 5,000.00 "," 5,000.00 ",," 12,240.00 "," 12,240.00 ",," 5,000.00 "," 5,000.00 ",," 30,380.00 "," 30,380.00 ",,, -   ,," 5,000.00 "," 5,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.04.03,,"Program setup, testing and commissioning the VSD pumpset to specified flowrate and pressure in schedule for all pumpsets.",,Lot,1,, -   ,100%, -   , -   ," 1,500.00 "," 1,500.00 ",,, -   , INCLUDED ," 3,000.00 "," 3,000.00 ",," 1,500.00 "," 1,500.00 ",,, -   ,," 5,000.00 "," 5,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.04.04,,"TO SUPPLY AND DELIVER variable speed  pump (1 duty/1 standby) cold water BOOSTER PUMPSET c/w skid, electric motors, skids, stainless steel 304 suction and discharge manifold, pre-pressurised tank at discharge manifold,  pressure gauges at suction and discharge manifold, valves and flexible couplings at pumps inlet and outlet, check valves at pumps outlet, strainers at pumps inlet,   supports, base frame, fittings, main control panel system to all pump in pump system, individual VFD starter with speed control, low water level cut off pressure transmitter, outlet manifold pressure transmitters, electrical wiring, control wiring and all necessary accessories. 

*  Pump tag: 
    RF-P-01 & 02 
   
The pumpset capacity flowrate and pressure shall refer to schedule in drawing and selection to its best efficiency.",,Lot,1,, -   ,100%, -   , -   ," 40,000.00 "," 40,000.00 ",," 30,700.00 "," 30,700.00 ",," 30,000.00 "," 30,000.00 ",," 46,275.00 "," 46,275.00 ",,, -   ,," 59,800.00 "," 59,800.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.04.05,,"TO INSTALL variable speed pump (1 duty/1 standby) cold water BOOSTER PUMPSET c/w skid, electric motors, skids, stainless steel 304 suction and discharge manifold, pre-pressurised tank at discharge manifold,  pressure gauges at suction and discharge manifold, valves and flexible couplings at pumps inlet and outlet, check valves at pumps outlet, strainers at pumps inlet,   supports, base frame, fittings, main control panel system to all pump in pump system, individual VFD starter with speed control, low water level cut off pressure transmitter, outlet manifold pressure transmitters, electrical wiring, control wiring and all necessary accessories. 

* Pump tag: 
   RF-P-01 & 02
  
The pumpset capacity flowrate and pressure shall refer to schedule in drawing and selection to its best efficiency.",,Lot,1,, -   ,100%, -   , -   ," 5,000.00 "," 5,000.00 ",," 9,210.00 "," 9,210.00 ",," 4,000.00 "," 4,000.00 ",," 16,800.00 "," 16,800.00 ",,, -   ,," 5,000.00 "," 5,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.04.06,,"Program setup, testing and commissioning the VSD pumpset to specified flowrate and pressure in schedule for all pumpsets.",,Lot,1,, -   ,100%, -   , -   ," 1,500.00 "," 1,500.00 ",,, -   , INCLUDED ," 2,000.00 "," 2,000.00 ",," 1,500.00 "," 1,500.00 ",,, -   ,," 10,000.00 "," 10,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.05.00,,COLD WATER DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.05.01,,"TO SUPPLY AND DELIVER PPR/POR above ground and HDPE underground from FRP tank to suction pump suction header c/w pipe fittings, digital water meter, check valve & all necessary accessories.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.05.01.01,,"From external water reticulation pipe to suction tank.

 •  150mm dia  ~ Est. pipe length: 400m",,Lot,1,, -   ,100%, -   , -   ," 59,765.00 "," 59,765.00 ",," 50,400.00 "," 50,400.00 ",," 66,000.00 "," 66,000.00 ",," 120,000.00 "," 120,000.00 "," HDPE
PN12.5 ",, -   ,," 89,460.00 "," 89,460.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.05.01.02,,"From FRP tank above ground outgoing pipe header to pump suction manifold.

 •  100mm dia ~ Est. pipe length: 15m",,Lot,1,, -   ,100%, -   , -   ," 3,550.00 "," 3,550.00 ",," 1,620.00 "," 1,620.00 ",," 3,000.00 "," 3,000.00 ",," 6,000.00 "," 6,000.00 ", PPR PN16 ,, -   ,," 7,870.00 "," 7,870.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.05.01.03,,"From suction pump discharge manifold to roof tanks at Roof Floor.

•  100mm dia ~ Est. pipe length: 250m",,Lot,1,, -   ,100%, -   , -   ," 37,200.00 "," 37,200.00 ",," 27,000.00 "," 27,000.00 ",," 43,000.00 "," 43,000.00 ",," 81,250.00 "," 81,250.00 "," HDPE PN16
&
PPR PN16 ",, -   ,," 131,250.00 "," 131,250.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
