ALP2 - ACMV - BOQ,,,,,,,
,,,,,,,
ITEM,,DESCRIPTION,,UNIT,QTY, RATE  , SPECIFIC DIMENSION 
03.01.12,,EXF-M00-TOILET(F)-01,,Nos,1," 1,270.00 "," 1,270.00 "
03.01.13,,EXF-M00-TOILET(M)-01,,Nos,1," 1,270.00 "," 1,270.00 "
03.01.14,,EXF-M01-SC-01,,Nos,1," 4,080.00 "," 4,080.00 "
03.01.15,,FAF-M01-SC-01,,Nos,1," 4,080.00 "," 4,080.00 "
03.01.16,,EXF-M01-SC-02,,Nos,1," 4,080.00 "," 4,080.00 "
03.01.17,,FAF-M01-SC-02,,Nos,1," 4,080.00 "," 4,080.00 "
03.01.18,,EXF-M01-SC-03,,Nos,1," 4,350.00 "," 4,350.00 "
03.01.19,,FAF-M01-SC-03,,Nos,1," 4,350.00 "," 4,350.00 "
03.01.20,,EXF-M01-TOILET(F)-01,,Nos,1," 1,270.00 "," 1,270.00 "
03.01.21,,EXF-M01-TOILET(M)-01,,Nos,1," 1,270.00 "," 1,270.00 "
03.01.22,,EXF-M02-SC-01,,Nos,1," 4,080.00 "," 4,080.00 "
03.01.23,,FAF-M02-SC-01,,Nos,1," 4,080.00 "," 4,080.00 "
03.01.24,,EXF-M02-SC-02,,Nos,1," 4,080.00 "," 4,080.00 "
03.01.25,,FAF-M02-SC-02,,Nos,1," 4,080.00 "," 4,080.00 "
03.01.26,,EXF-M02-SC-03,,Nos,1," 4,350.00 "," 4,350.00 "
03.01.27,,FAF-M02-SC-03,,Nos,1," 4,350.00 "," 4,350.00 "
03.01.28,,EXF-M02-TOILET(F)-01,,Nos,1," 1,270.00 "," 1,270.00 "
03.01.29,,EXF-M02-TOILET(M)-01,,Nos,1," 1,270.00 "," 1,270.00 "
03.01.30,,EXF-R00-CHW-01,,Nos,1," 3,550.00 "," 3,550.00 "
03.01.31,,EXF-R00-DCW-01,,Nos,1," 1,650.00 "," 1,650.00 "
03.01.32,,PFF-R00-LL1-01,,Nos,1," 6,890.00 "," 6,890.00 "
03.01.33,,PFF-R00-LL2-01,,Nos,1," 6,890.00 "," 6,890.00 "
03.01.34,,PFF-R00-LL4-01,,Nos,1," 6,890.00 "," 6,890.00 "
03.01.35,,PFF-R00-S1-01,,Nos,1," 4,590.00 "," 4,590.00 "
03.01.36,,SSF-R00-ASRS-01 TO 16,,Nos,16," 23,730.00 "," 379,680.00 "
03.01.37,,KEF-F00-01,,Nos,1," 5,340.00 "," 5,340.00 "
,,,,,,,
03.02.00,,"TO SUPPLY AND INSTALL G.I. ventilation ductwork c/w TDC joints, duct fittings, and other necessary accessories compliance to tender drawings, specifications and the latest SMACNA duct construction requirement for the following ventilation fans :-
(minimum 1.2mm thickness G.I. duct for fire smoke spill and pressurization system) ",,,,,
,,,,,,,
03.02.01,,FAF-F00-01,,Lot,1, 440.00 , 440.00 
03.02.02,,EXF-M00-SC-01,,Lot,1," 33,560.00 "," 33,560.00 "
03.02.03,,FAF-M00-SC-01,,Lot,1," 21,200.00 "," 21,200.00 "
03.02.04,,EXF-M00-SC-02,,Lot,1," 21,200.00 "," 21,200.00 "
03.02.05,,FAF-M00-SC-02,,Lot,1," 17,990.00 "," 17,990.00 "
03.02.06,,EXF-M00-SC-03,,Lot,1," 20,620.00 "," 20,620.00 "
03.02.07,,FAF-M00-SC-03,,Lot,1," 29,040.00 "," 29,040.00 "
03.02.08,,EXF-M00-TOILET(F)-01,,Lot,1," 2,750.00 "," 2,750.00 "
03.02.09,,EXF-M00-TOILET(M)-01,,Lot,1," 3,180.00 "," 3,180.00 "
03.02.10,,EXF-M01-SC-01,,Lot,1," 33,560.00 "," 33,560.00 "
03.02.11,,FAF-M01-SC-01,,Lot,1," 21,200.00 "," 21,200.00 "
03.02.12,,EXF-M01-SC-02,,Lot,1," 21,200.00 "," 21,200.00 "
03.02.13,,FAF-M01-SC-02,,Lot,1," 17,990.00 "," 17,990.00 "
03.02.14,,EXF-M01-SC-03,,Lot,1," 20,620.00 "," 20,620.00 "
03.02.15,,FAF-M01-SC-03,,Lot,1," 29,040.00 "," 29,040.00 "
03.02.16,,EXF-M01-TOILET(F)-01,,Lot,1," 2,750.00 "," 2,750.00 "
03.02.17,,EXF-M01-TOILET(M)-01,,Lot,1," 3,180.00 "," 3,180.00 "
03.02.18,,EXF-M02-SC-01,,Lot,1," 33,560.00 "," 33,560.00 "
03.02.19,,FAF-M02-SC-01,,Lot,1," 21,200.00 "," 21,200.00 "
03.02.20,,EXF-M02-SC-02,,Lot,1," 21,200.00 "," 21,200.00 "
03.02.21,,FAF-M02-SC-02,,Lot,1," 17,990.00 "," 17,990.00 "
03.02.22,,EXF-M02-SC-03,,Lot,1," 20,620.00 "," 20,620.00 "
03.02.23,,FAF-M02-SC-03,,Lot,1," 29,040.00 "," 29,040.00 "
03.02.24,,EXF-M02-TOILET(F)-01,,Lot,1," 2,750.00 "," 2,750.00 "
03.02.25,,EXF-M02-TOILET(M)-01,,Lot,1," 3,180.00 "," 3,180.00 "
03.02.26,,EXF-R00-CHW-01,,Lot,1," 6,130.00 "," 6,130.00 "
03.02.27,,PFF-R00-LL1-01,,Lot,1," 6,050.00 "," 6,050.00 "
03.02.28,,PFF-R00-LL2-01,,Lot,1," 2,750.00 "," 2,750.00 "
03.02.29,,PFF-R00-LL4-01,,Lot,1," 2,870.00 "," 2,870.00 "
03.02.30,,PFF-R00-S1-01,,Lot,1," 1,970.00 "," 1,970.00 "
03.02.31,,KEF-F00-01,,Lot,1, 800.00 , 800.00 
,,,,,,,
03.03.00,,"TO SUPPLY AND INSTALL  the following c/w powder coated aluminium louvers, grilles with opposed blade damper (OBD), G.I. dampers, motorized fire dampers as per drawings and specifications. Air louvers at fascade or outdoor shall be weather proof type. ",,,,,
,,,,,,,
03.03.01,,EXF-F00-CW-01,,,,,
,,External Louver ,,Lot,1, 910.00 , 910.00 
,,,,,,,
03.03.02,,EXF-F00-FP-01,,,,,
,,External Louver ,,Lot,1," 1,820.00 "," 1,820.00 "
,,,,,,,
03.03.03,,EXF-F00-FP-02,,,,,
,,External Louver ,,Lot,1," 1,820.00 "," 1,820.00 "
,,,,,,,
03.03.04,,EXF-F00-CON-01 TO 06,,,,,
,,External Louver ,,Lot,1," 10,880.00 "," 10,880.00 "
,,,,,,,
03.03.05,,FAF-F00-01,,,,,
,,Exhaust Air Grille ,,Lot,1, 450.00 , 450.00 
,,External Louver ,,Lot,1, 460.00 , 460.00 
,,,,,,,
03.03.06,,EXF-M00-SC-01,,,,,
,,Exhaust Air Grille ,,Lot,1," 3,020.00 "," 3,020.00 "
,,External Louver ,,Lot,1," 8,910.00 "," 8,910.00 "
,,,,,,,
03.03.07,,FAF-M00-SC-01,,,,,
,,Exhaust Air Grille ,,Lot,1," 3,020.00 "," 3,020.00 "
,,External Louver ,,Lot,1," 8,910.00 "," 8,910.00 "
,,,,,,,
03.03.08,,EXF-M00-SC-02,,,,,
,,Exhaust Air Grille ,,Lot,1," 3,020.00 "," 3,020.00 "
,,External Louver ,,Lot,1," 8,910.00 "," 8,910.00 "
,,,,,,,
03.03.09,,FAF-M00-SC-02,,,,,
,,Exhaust Air Grille ,,Lot,1," 3,020.00 "," 3,020.00 "
,,External Louver ,,Lot,1," 8,910.00 "," 8,910.00 "
,,,,,,,
03.03.10,,EXF-M00-SC-03,,,,,
,,Exhaust Air Grille ,,Lot,1," 3,020.00 "," 3,020.00 "
,,External Louver ,,Lot,1," 8,910.00 "," 8,910.00 "
,,,,,,,
03.03.11,,FAF-M00-SC-03,,,,,
,,Exhaust Air Grille ,,Lot,1," 3,020.00 "," 3,020.00 "
,,External Louver ,,Lot,1," 8,910.00 "," 8,910.00 "
,,,,,,,
03.03.12,,EXF-M00-TOILET(F)-01,,,,,
,,Exhaust Air Grille ,,Lot,1, 750.00 , 750.00 
,,External Louver ,,Lot,1, 430.00 , 430.00 
,,,,,,,
03.03.13,,EXF-M00-TOILET(M)-01,,,,,
,,Exhaust Air Grille ,,Lot,1, 930.00 , 930.00 
,,External Louver ,,Lot,1, 430.00 , 430.00 
,,,,,,,
03.03.14,,EXF-M01-SC-01,,,,,
,,Exhaust Air Grille ,,Lot,1," 3,020.00 "," 3,020.00 "
,,External Louver ,,Lot,1," 8,910.00 "," 8,910.00 "
,,,,,,,
