ALP2 - EARTHING & LIGHTNING PROTECTION SERVICES (ELPS),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,1,,,2,,,3,,,4,,
,,,,,,BASE COST,,100%,SUBMISSION,, DELTRIC ,,, DELTRIC R1 ,,, PEKAT ,,, ENPRO ,,, TOKAI ,,
ITEM,,DESCRIPTION, U/R ,UNIT,QTY, RATE , AMOUNT ,, RATE , AMOUNT , RATE , AMOUNT , REMARK , RATE , AMOUNT , REMARK , RATE , AMOUNT , REMARK , RATE , AMOUNT , REMARK , RATE , AMOUNT , REMARK 
02.02.04,,"Supply and install bi-metallic joint  at 1800mm FFL c/w termination, cover and all necessary accessories.",,No,2, 100.00 , 200.00 ,100%, 100.00 , 200.00 , 220.00 , 440.00 ,, 220.00 , 440.00 ,,, N/A , not in drawing ,  LS  , 570.00 ,, 299.00 , 598.00 ,
,,,,,,,,,,,,,,,,,,,,,,,,,
02.02.05,,Supply and install 25mm x 3mm Copper (Cu.) from bimetallic joint at ground floor to earth chamber c/w termination and all necessary accessories. (10m x 2 points),,M,20, 60.00 ," 1,200.00 ",100%, 60.00 ," 1,200.00 ", 85.00 ," 1,700.00 ",, 85.00 ," 1,700.00 ",,, N/A , not in drawing ,  LS  ," 1,500.00 ",, 67.00 ," 1,340.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
02.02.06,,"Supply and install earthing connection to earth chamber using exothermic joint c/w exothermic welding, horizontal 25mm x 3mm Copper (Cu) tape (interlink earth), heavy duty type grounding chamber inc copperbond earth electrodes, couplings, clamp and all other necessary equipment to achieve system earth after interlinking of  5 ohms or below complying to BS7430",,LS,1, 650.00 , 650.00 ,100%, 650.00 , 650.00 ," 3,700.00 "," 3,700.00 ",," 3,700.00 "," 3,700.00 ",,, N/A , not in drawing ,  LS  ," 1,300.00 ",," 1,382.00 "," 1,382.00 ",
,,Heavy duty concrete chamber c/w earth bar, 650.00 ,NOS,1, 650.00 ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
02.03.00,,Guardhouse 2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
02.03.01,,"Supply and install Aluminium air terminal rod min diameter 1/2"" 500mm height c/w termination, mounting and all necessary accessories.",,No,4, 120.00 , 480.00 ,100%, 120.00 , 480.00 , 150.00 , 600.00 ,, 100.00 , 400.00 ,,, N/A , not in drawing ,  LS  , 660.00 ,, 174.00 , 696.00 ,
,,,,,,,,,,,,,,,,,,,,,,,,,
02.03.02,,"Supply and install 25mm x 3mm horizontal mesh Aluminium (Al) tape c/w square tape clamp, tape to tape joint, aluminium b-bond clamp, aluminium expansion flexible braid bond, stainless steel fastener clip, glue down/adhesive non-metallic dc tape clip  and all necessary accessories at Roof level for complete installation",,M,40, 30.00 ," 1,200.00 ",100%, 30.00 ," 1,200.00 ", 40.00 ," 1,600.00 ",, 35.00 ," 1,400.00 ",,, N/A , not in drawing ,  LS  ," 4,980.00 ",, 42.00 ," 1,680.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
02.03.03,,"Supply and install 25mm x 3mm vertical down conductor Aluminium (Al) tape run in PVC conduit/trunking from roof level to bi-metallic joint at ground floor, encased in column c/w tape to tape joint and all necessary accessories.",,M,5, 26.00 , 130.00 ,100%, 26.00 , 130.00 , 35.00 , 175.00 ,, 35.00 , 175.00 ,,, N/A , not in drawing ,  LS  , 246.00 ,, 53.00 , 265.00 ,
,,,,,,,,,,,,,,,,,,,,,,,,,
02.03.04,,"Supply and install bi-metallic joint  at 1800mm FFL c/w termination, cover and all necessary accessories.",,No,2, 100.00 , 200.00 ,100%, 100.00 , 200.00 , 220.00 , 440.00 ,, 220.00 , 440.00 ,,, N/A , not in drawing ,  LS  , 570.00 ,, 299.00 , 598.00 ,
,,,,,,,,,,,,,,,,,,,,,,,,,
02.03.05,,Supply and install 25mm x 3mm Copper (Cu.) from bimetallic joint at ground floor to earth chamber c/w termination and all necessary accessories. (10m x 2 points),,M,20, 60.00 ," 1,200.00 ",100%, 60.00 ," 1,200.00 ", 85.00 ," 1,700.00 ",, 85.00 ," 1,700.00 ",,, N/A , not in drawing ,  LS  ," 1,500.00 ",, 67.00 ," 1,340.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
02.03.06,,"Supply and install earthing connection to earth chamber using exothermic joint c/w exothermic welding, horizontal 25mm x 3mm Copper (Cu) tape (interlink earth), heavy duty type grounding chamber inc copperbond earth electrodes, couplings, clamp and all other necessary equipment to achieve system earth after interlinking of  5 ohms or below complying to BS7430",,LS,1, 650.00 , 650.00 ,100%, 650.00 , 650.00 ," 3,700.00 "," 3,700.00 ",," 3,700.00 "," 3,700.00 ",,, N/A , not in drawing ,  LS  ," 1,300.00 ",," 1,382.00 "," 1,382.00 ",
,,Heavy duty concrete chamber c/w earth bar, 650.00 ,NOS,1, 650.00 ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
